company,job_header,job_description
George Brown College,International Admissions Officer,"Land Acknowledgement
George Brown College is located on the traditional territory of the Mississaugas of the Credit First Nation and other Indigenous peoples who have lived here over time. We are grateful to share this land as treaty people who learn, work, and live in the community with each other.
At George Brown College, we have established a reputation for equipping our students with the skills, industry experience and credentials to pursue the careers of their choice. As employees, we are committed to creating an enriching learning community for our students, delivering excellence in what we do, holding ourselves accountable for our work and demonstrating diversity and respect for one another.

What responsibilities will you have in this role?
Responsible for evaluating and processing all international, full-time program applications (including advanced standing) for India and select priority programs for all regions and academic areas.
Monitors daily/weekly application volume to ensure backlogs are addressed and established deadlines are met; escalates significant backlog issues to International Admissions Coordinator/Director as appropriate.
Uses the Student Information System (SIS- Banner) and the international Online Application System (OAS) to move applicants through the various stages of the admissions process.
Contributes to maximizing international student enrollment by accurately and efficiently assessing and processing international student applications (Post-Secondary and ESL).
Provides follow up and consultation to applicants on admissions process, requirements, and testing procedures.
Processes via the OAS and enters data accurately in Banner and the OCAS Admissions module. Identifies and works with the International Admissions Coordinator and/or Director to resolve any processing or admissions requirement issues.
Maintains up-to-date knowledge related to the College’s programs, admissions policies and procedures.
Monitors and reports any system and process issues and recommends enhancements.
Collaborates with International Admissions team members to prioritize processing and distribution of work.
Provides admissions advising and guidance to multiple applicants, students, agents, partners, and internal stakeholders (academic and corporate).
Provides support and guidance to the applicant/agent from the point of pre-application to registration and at times, beyond.
Advises on the outcome or status of an admissions decision (e.g. regret, incomplete), and provides guidance on next steps (alternate options).
Responds in a timely manner to all admissions-specific inquiries received by email, phone, or in-person to ensure courteous and accurate information/direction is provided on a variety of issues.
Participates in admissions/recruitment drives, as required. Assists in internal ESL student promotions.
Collaborates in the admissions implementation of international partnerships in Canada and out-of-country, as required.
Supports admissions-related process/systems improvement projects and related duties, as assigned.
Acts as admissions back-up for other team members during absences.
Performs other related duties, as assigned.
What qualifications do you need for this role?
Three year diploma/degree from a recognized post-secondary institution in Business Administration, Computer Information Systems, Office Information Management, Education, Social Sciences or related fields.
Minimum three years’ recent experience in providing high level, empathetic customer service to a diverse clientele in an office, service, or educational setting.
Written and spoken proficiency/fluency in a 2nd language of one of our primary source country markets.
Experience in processing complex and specialized information and providing guidance is required.
Relevant experience in post-secondary international admissions or assessing educational equivalencies, with experience processing applications for a diverse regional and academic portfolio, is an important asset.
Relevant experience in foreign credential evaluation and authentication of documents is an important asset
In-depth knowledge of international secondary school equivalencies, College and/ or University transcripts/ credits, transcripts and their equivalencies, and George Brown assessment center test results, are required in order to properly advise applicants.
Experience with a Student Information System, such as Banner, is required.
Experience with an Admissions Application Processing System, such as the GBC INTL Online Application System (OAS), is an asset.
Advanced level experience in the use of Microsoft Office applications; experience in word processing, working with relational databases and spreadsheets.
Experience in problem-solving complex situations, troubleshooting and resolving conflict exercising tact, discretion and sound judgment.
Experience in providing excellent customer service/support; well-developed interpersonal skills, including cross-cultural sensitivity.
Experience in prioritizing and managing pressure associated with numerous high-volume tasks in a busy service environment; high level of accuracy and attention to detail.
Ability to travel to different campuses and possibly travel abroad, as required.
Demonstrated commitment in delivering excellent service to others as this is key in supporting the success of our students and our College.
Strong collaboration, teamwork and people skills.
Effective ability to interact with others and deal with situations in ways that respect diverse backgrounds, experience and styles.
Flexibility in adapting to change and in participating in consultative decision-making processes.

Hours of Work: 9:00 am – 5:00 pm.
Interview process may consist of a practical skills component.

TO APPLY:
If you are a George Brown College employee, click here to apply via our internal site.
If you are an external candidate, go to www.georgebrown.ca and click on the “Employment at George Brown” link or click on the ‘apply’ button to the left of the posted job to apply.
NOTES:
Please ensure your resume highlights all relevant education, training and experience that are applicable to the minimum qualifications for this role.
The College requires proof of degrees, credentials or equivalencies from accredited regional or federal post-secondary institutions and/or their international equivalents. Credentials may require validation at the time of interviews.
First consideration will be provided to internal candidates in accordance with our Support Staff Collective Agreement.

Closing: October 01, 2021

George Brown College is committed to creating and sustaining an equitable and inclusive learning and working environment. We encourage and actively seek applications from Indigenous, Black, racialized people, visible minorities, 2SLGBTQIA+ persons, all genders, and persons with disabilities. George Brown College is committed to accommodating applicants with disabilities throughout the hiring process, in accordance with the Accessibility for Ontarians with Disabilities Act (AODA). The Human Resources representative responsible for the recruitment for this position will work with applicants requesting accommodation at any stage of the hiring process. Candidates who require accommodation in the interview process may contact talentacquisition@georgebrown.ca and all information received will be addressed confidentially.

As a unionized workplace, we support our internal employees by providing first consideration to qualified applications as set out in the Collective Agreement.

For information on George Brown College, please visit our website at www.georgebrown.ca."
"Ministry of the Environment, Conservation and...",SAMPLE RECEPTION COORDINATOR,"Are you looking for a challenging opportunity to build your administrative career? Are you comfortable working in an environment where each day can bring a new challenge? Do you value being a critical member of a team effort to ensure urgent, time-sensitive matters are dealt with appropriately and where you are often the key liaison into and out of the organization for branch/regional matters? Then consider this chance to provide support to the team in a fast paced and high pressure work environment
What can I expect to do in this role?
In this role you will be required to:

Provide an efficient, timely, and safe sample intake/reception function, including the sorting of samples, documentation, and data entry of sample information, the distribution of samples to various analytical units within the Laboratory complex within stringent time parameters.
Resolve problems related to sample numbering, coding, etc. to ensure the proper identification and tracking of each sample.
Provide guidance and advice on sample reception procedures to students, contract employees and regular staff working in sample reception on a rotational basis.
Provide customer service to external and internal customers of the branch and section.

How do I qualify?
Customer Service and Communication Skills
You will provide diplomacy and tact in order to deal with difficult customer interactions.
You will provide day to day customer service and to interact with internal branch staff and external customers on a daily basis.
You will respond to assessor and inspector questions during audits and inspections.
You will utilize excellent negotiation and diplomacy skills to initiate consultations with, answer queries from, and advise customers.
You will have excellent oral and written communication skills in order to communicate with customers in person, by phone or in writing.

Organizational and Planning Skills
You will be required to prioritize day to day work including submissions and samples based on perishability, customer needs and analytical staff needs while ensuring same day service.
You will be required to demonstrate skills to organize and plan daily activities for the area of sample reception to meet same day standards.

Analytical and Problem-Solving Skills
You will have to determine the course of action in the face of discrepancies between matrix, sample description, client ID, program code, product request information provided by the customer.
You will be able to troubleshoot barcode printers, MFD printers and sample routing problems resulting from inconsistent information provided on source documents and bottle labels.

Leadership and Team-Building Skills
You will be able to provide guidance and check the work of rotational staff and students in the sample reception area.
You have the ability to work independently and as part of a team and maintain co-operative and collegial relationships with co-workers, customers, and others such as the general public.

Administrative Skills
You know how to apply administrative functions such as filing, tracking submissions and processing mail.
You know how to use computers and related software with existing software packages and relational databases in order to enter information, summarize information, respond to emails, and tabulate information.
You have the ability to perform accurate data entry of information efficiently and effectively for hours at a time in order to meet the same day sample receiving and processing requirements.
You have the ability to handle the phones and at the reception counter provide customer service and advise customers, to provide direct testimony, and to summarize information in reports.

Drinking Water Sample Analysis, Procedure and policies for Sample Reception and Environment legislation knowledge
You understand and have basic knowledge of science and environmental analysis.
You have comprehensive knowledge of the responsibilities of analytical departments within an environmental analytical testing laboratory and sample flow within laboratories.
You have knowledge of policies, procedures and protocols to coordinate the sample intake/reception function for environmental testing within an ISO 17025 accredited laboratory.
You have knowledge of regulations associated with drinking water testing to understand sample reception function related to the receipt and recording of drinking water samples, and to provide customer service on the Help Desk.
You have knowledge of sampling containers, volume and preservation requirements for environmental analytical testing in order to ensure the stability of received samples for testing, to reject samples and to provide advice to customers.
You have knowledge of legislation, policies and procedures related to health and safety including WHMIS and health and safety protocols as it relates to the sample intake function within an environmental analytical laboratory.
You have knowledge of chemical waste disposal policies and procedures in order to dispose of waste samples that are not being processed in accordance with required legislation.

Additional Information:
Address:
1 Temporary, duration up to 12 months, 125 Resources Rd, Etobicoke, Toronto Region

Compensation Group:
Ontario Public Service Employees Union

Understanding the job ad - definitions
Schedule:
3.7

Category:
Administrative and Support Services

Posted on:
Thursday, September 23, 2021

Note:
OPS Commitment to diversity, inclusion, accessibility, and anti- racism:

We are committed to build a workforce that reflects the communities we serve and to promote a diverse, anti-racist, inclusive, accessible, merit-based, respectful and equitable workplace.

We invite all interested individuals to apply and encourage applications from people with disabilities, Indigenous, Black, and racialized individuals, as well as people from a diversity of ethnic and cultural origins, sexual orientations, gender identities and expressions.

Visit theOPS Anti-Racism Policy and the OPS Diversity and Inclusion Blueprint pages to learn more about the OPS commitment to advance racial equity, accessibility, diversity, and inclusion in the public service.

We offer employment accommodation across the recruitment process and all aspects of employment consistent with the requirements of Ontario's Human Rights Code. Refer to the application instructions below if you require a disability-related accommodation."
Canadian Blood Services,Laboratory Assistant - Production,"Job category: Laboratory and phlebotomy
Job posting ID: 1621

Employment status: Regular part-time
Possible schedule/FTE: 0.50

Classification: BT OPSEU 200
Salary/Rate of pay: 23.31

Application deadline: 2021-10-05

Somewhere in Canada there’s a life you can save.

Be part of a dynamic, collaborative and caring organization committed to saving and improving the lives of Canadians. Thousands of Canadians depend on us every day for reliable access to safe blood, plasma, stem cells and organs and tissues.

Join Canada’s Lifeline and make a meaningful difference every day.

Canadian Blood Services is looking for a Regular Part-Time Laboratory Assistant to join our dynamic Production Team in Brampton, Ontario. In this role you will be responsible for para‑technical functions of the Laboratory and may be assigned any of the duties and responsibilities listed below. You will adhere to all current operating procedures, practice good judgment in the performance of job responsibilities and promote centre objectives through good interpersonal skills.

Responsibilities include:

Prepares, produces and/or modifies all blood components and has the responsibility for maintaining proper storage of whole blood and blood components
Prepares available inventory, issues, and outdates counts of blood and components on a daily basis
Receives orders, selects, issues, dispatches, and may be assigned to pack blood, blood components and fractionation products to hospitals according to Standard Operating Procedures
Prepares donor samples for testing according to Standard Operating Procedures
Prepares individual plasma units of various types, completes paperwork and prepares shipment of units to fractionation plant
Performs cleaning of equipment and supplies
Performs preventative maintenance of equipment used in the laboratory
May be assigned to operate a computer terminal and other automated equipment
Observes laboratory hygiene, precautions and laboratory safety regulations
Assists in the laboratory by performing para‑technical duties, under the close supervision of a technologist (e.g., sorting banks, opening specimens, writing worksheets, and recording results)
Assists the laboratory manager or designate in the development and evaluation of procedures, such as integration of a new procedure
Maintains adequate stock of supplies and prepares weekly supply orders
Follows all policies and procedures to maintain a healthy and safe work environment
May assist with training of staff
Performs additional Laboratory department related tasks and duties

Required Skills:

Minimum completed Grade 12 education; Bachelor's of Science or College Diploma would be considered an asset
Minimum of one (1) year laboratory work experience
Experience in food processing or pharmaceutical or biologics manufacturing is a strong asset
Relevant computer skills may be required
Manual dexterity, ability to prepare and maintain accurate records
Initiative and ability to work independently
Ability to carry out repetitive tasks in a meticulous manner
Ability to learn required technical skills
Must have good oral and written communications skills
Must be available to work a variety of shifts including days, evenings, nights, weekends and holidays
Fluency in English is required

Benefits

Payments in lieu for vacation and holidays
Defined benefits pension plan
Employee discounts, wellness program, and much more

Diversity and inclusion play a vital role in ensuring health equity for patients across Canada. We are committed to reflecting Canada’s population in our organization and fostering an environment where all employees can be their authentic selves, with equal opportunities to succeed and contribute.

To protect the health and safety of its employees, all Canadian Blood Services’ employees are required to be fully vaccinated (COVID-19 vaccine doses as approved by Health Canada), subject to any medical or other human rights grounds.

If this role resonates with you, we encourage you to apply! This could be your first step towards a meaningful and inspiring career. Come to work each day knowing that you save lives.

We thank all applicants for their interest. However, only those considered for an interview or those invited to participate in an assessment (such as testing) will be contacted. Applicants who require accommodation should discuss their needs with us."
Tiger Analytics Inc.,"manager, computer applications","Information Technology
Computer Science
Electrical, Electronics and Communications Engineering
Computer Applications
Data manipulation and analysis
Work Setting
Consulting firm
Specific Skills
Establish and implement policies and procedures for information systems
Authorize the development of specifications for products or services
Assign, co-ordinate and review projects and programs
Plan, organize, direct, control and evaluate daily operations
Meet with clients to discuss system requirements, specifications, costs and timelines
Security and Safety
Criminal record check
Transportation/Travel Information
Valid driver's licence
Work Conditions and Physical Capabilities
Attention to detail
Tight deadlines
Ability to Supervise
1 to 2 people
Computer and Technology Knowledge
Data analysis and interpretation
Computer programming
Personal Suitability
Effective interpersonal skills
Team player
Excellent oral communication
Excellent written communication
Client focus
Teleworking Information
Remote work available
Benefits
Medical Benefits
Disability Benefits
Dental Benefits
Group Insurance Benefits
Life Insurance Benefits
Pension Plan Benefits
RRSP Benefits
Vision Care Benefits"
Publicis Sapient,Junior Associate Data Science & Analytics – Class of 2022,"Company Description

Publicis Sapient is a digital transformation partner helping established organizations get to their future, digitally-enabled state, both in the way they work and the way they serve their customers. We help unlock value through a start-up mindset and modern methods, fusing strategy, consulting and customer experience with agile engineering and problem-solving creativity. United by our core values and our purpose of helping people thrive in the brave pursuit of next, our 20,000+ people in 53 offices around the world combine experience across technology, data sciences, consulting and customer obsession to accelerate our clients’ businesses through designing the products and services their customers truly value. Publicis Sapient is the digital business transformation hub of Publicis Groupe. For more information, visit www.publicissapient.com

Job Description

As a Junior Associate in our Data Science & Analytics practice, you will develop a deep understanding of how customers engage with our clients’ brands and providing recommendations to drive incremental revenue. You will develop new technical skills as you build model, begin working with digital analytics platforms to collect and analyze customer data. Then you will harness data platforms to deliver personalized experiences to customers and report on their performance. After developing a thorough understanding of the performance of our clients’ business you will develop and testing hypotheses for driving incremental value from personalized marketing initiatives.
Through your exposure to project work, you will familiarize yourself with many areas of our practice, developing expertise and a specialization.

As part of our new graduate program, you’ll go through on-boarding and will be ready to start working with clients by month 2. You’ll also receive on-going structured learning during your first three years that is tailored to you, and you will also be supported with your growth & progression.

Your Impact:
Discover opportunities for driving impact to our client’s business
Measure the impact of digital transformation initiatives, campaigns and new capabilities/tactics
Perform hands-on advanced analysis of large volumes of financial, transactional, marketing, web analytics, and customer data
Uncover the hidden stories about our clients’ customers discovered through data and crafted into a compelling presentations
Become proficient in tools that deliver personalized digital experiences

Qualifications

We recognize that you might not meet 100% of the requirements listed below and that’s okay! We’d love to hear from you anyways.
Required Qualifications
BS/BA degree in Business and Mathematics, Economics, Statistics, Physics, Engineering, Bioinformatics, Computer Science, or other areas where analytics and business are applied
Graduating between December 2021 and August 2022
Fluency in a data programming language such as SQL, Python, R, SAS
Able to quickly clean, join, transform, and analyze vast datasets into a compelling narrative for presentation to senior audiences
Strong presentation and communication skills clearly developing client communications using tools such as PowerPoint, Excel and email
A demonstrated willingness to learn (a successful candidate will be supported through the certification process of relevant tools for their accounts)
Interest in A/B & multivariate experimentation tools such as SQL, Excel, R, Python, SAS, and PowerPoint
Strong academic track record
Experience conducting data analysis through coursework, coop, and/or volunteer organization
Willingness to travel up to 80-100% (While travel is a requirement of the role, due to COVID-19, non-essential travel has been suspended until further notice)
Desired Qualifications
Prior experience in digital analytics
Direct experience working with digital analytics tools including: Tag Managers, Digital Analytics, Customer Data Platforms (CDP) , Data Management Platforms (DMP), Business Intelligence (BI) platforms, Marketing Automation platforms

Additional Information

Benefits of Working Here
Generous paid vacation and 15 paid holidays
Flexible work/life balance
Awesome benefits – health, dental, vision, and life
Company discounts and tuition reimbursement
Support and tools to be coached and mentored; hands-on experience to sharpen your skills and learn from industry experts
Participation in our 3 year Early Career Development Program that encompasses growing your skills with clear promotion path opportunities
Application Tips
Applications will be accepted until October 15th, 2021.
In order for your application to be considered complete, you must upload both your resume and unofficial transcript. A cover letter is optional but recommended.

Once you submit your application, you will hear back from us within 5 business days on next steps.

We have this position available in our Toronto office.

When you are ready to submit your application, click the ""I'm interested"" button to the right.

Publicis Sapient is an Equal Opportunity Employer
As part of our dedication to an inclusive and diverse workforce, Publicis Sapient is committed to Equal Employment Opportunity without regard for race, color, national origin, ethnicity, gender, protected veteran status, disability, sexual orientation, gender identity, or religion. We are also committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, contact us at hiring@publicissapient.com or call us at +1-617-621-0200.
For more information about Publicis Sapient, visit here: https://www.publicissapient.com/about"
TikTok,Strategy Intern (Monetization Office) - Summer 2022,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul, and Tokyo. We are now looking for talented individuals to join us in 2022 - people who want to inspire creativity and co-create the future with TikTok.

Internships at TikTok aim to provide students the chance to work with our clients and teams to address key business problems and identify areas of growth for the company. With your education and experience, you will be able to take on real-world challenges from day one.

By applying to this position, your application is automatically submitted to the following locations: San Francisco, New York, Austin, Los Angeles, Mountain View, Toronto. This Internship Program is for 12 weeks duration beginning in May/June 2022.

Application deadline: February 15th, 2022
Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is firm and includes all campus jobs globally. Applications will be reviewed on a rolling basis and we encourage you to apply early.

The Monetization Office organization provides business critical insights using analytics, ensures cross functional alignment of goals and execution, and helps teams drive strategic partnerships and new initiatives forward. We stay focused on aligning the highest-level company priorities with effective day-to-day operations, and help evolve early stage ideas into future-growth initiatives.

We are looking for an entrepreneurially spirited intern to join our monetization strategy team in the US. In this role, you will be responsible for driving key research initiatives within the team, including developing deep understanding of the digital advertising market and competitor landscape, and uncovering critical insights for our business.

Responsibilities:
Collaborate with cross-functional stakeholders, develop scalable solutions, and work towards consensus across the organization.
Provide objective, thorough, and data-driven recommendations to leadership; clear and actionable suggestions to policy teams.
Build metrics, dashboards and tracking strategies to inform performance
Conduct in-depth analysis that helps the business better understand key value drivers and growth opportunities
Effectively communicate actionable insights across all levels to inform monetization efforts
Work closely with cross-functional partners, including local monetization teams, and international strategy and data teams to drive analytical initiatives to completion
Strong research and analysis skills
Currently pursuing a Bachelors or Master Degree in math, statistics, engineering, computer science or other quantitative majors, preferred
Able to commit to working for 12 weeks during Summer 2022
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment.
Self-driven, curious, passionate about being involved in the business, growing fast, and able to adapt to a high work pace.
Ability to think creatively, logically and structurally, and to summarize patterns from complex phenomena
Strong data analysis ability, able to use Excel, SQL, Tableau and other data analysis and visualization tools proficiently
Proficient in one or more programming languages such as Python or R
Get-it-done mindset: You’re motivated to work hard and efficiently in a fast-paced, cross-cultural environment.
TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at Accommodations-AMS@tiktok.com."
SLR Consulting (Canada) Ltd.,mine geologist,"Geological and Earth Sciences/Geosciences, Other
Field Work Location Experience
On land
Geochemistry Specialization
Mineral geochemistry
Geology Specialization
Mineral deposits or mining
Credentials (certificates, licences, memberships, courses, etc.)
Registration as a professional geologist
Area of Work Experience
Resource exploitation and development
Resource exploration
Basic, theoretical or fundamental research
Computer Experience
MS Excel
Modelling and simulation
Data manipulation and analysis
Mapping and data visualization software
Work Setting
Consulting geology, geophysics or engineering firm
Resource Usage and Environmental Studies
Environmental assessment
Transportation/Travel Information
Willing to travel
Travel expenses paid by employer
Willing to travel internationally
Work Conditions and Physical Capabilities
Fast-paced environment
Attention to detail
Ability to Supervise
Working groups
Work Location Information
Urban area
Remote location
Type of Resources
Precious metal
Ferrous metals
Coal
Base metals
Personal Suitability
Effective interpersonal skills
Flexibility
Accurate
Team player
Excellent oral communication
Excellent written communication
Reliability
Organized
Geoscientists Specific Skills
Plan, direct and participate in geological, geochemical and geophysical field studies, drilling and geological testing programs
Workplace information
Remote work available
Benefits
Medical Benefits
Disability Benefits
Dental Benefits
Group Insurance Benefits
Life Insurance Benefits
RRSP Benefits
Vision Care Benefits"
Intel,Software Engineer - PEY Intern,"Job Description
Come intern with one of the largest electrical engineering companies in the world.

Come Intern with our Programmable Solutions Group (PSG).

You will work on some aspect of the Intel Quartus compile system.

Roles and responsibilities may include to work on some of the most difficult and interesting algorithmic problems around.

Qualifications

You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.

Minimum Requirements:

Must be pursuing a Bachelor's degree in Computer Engineering, Engineering Science, Computer Science, Math, Electrical Engineering or equivalent.

Minimum 3 months of programming experience in C, C++, or Python.

Preferred qualifications:

At least one course in digital logic
Inside this Business Group

The Programmable Solutions Group (PSG) was formed from the acquisition of Altera. As part of Intel, PSG will create market-leading programmable logic devices that deliver a wider range of capabilities than customers experience today. Combining Altera's industry-leading FPGA technology and customer support with Intel's world-class semiconductor manufacturing capabilities will enable customers to create the next generation of electronic systems with unmatched performance and power efficiency. PSG takes pride in creating an energetic and dynamic work environment that is driven by ingenuity and innovation. We believe the growth and success of our group is directly linked to the growth and satisfaction of our employees. That is why PSG is committed to a work environment that is flexible and collaborative, and allows our employees to reach their full potential.

Intel is committed to a culture of accessibility. Intel provides accommodations to applicants and employees with disabilities. Find information and request accommodation here"
BMO Financial Group,Developer (New Grad),"Address:
YSC - 2 Sheppard Avenue East
Job Family Group:
Technology
Understands that the success of a developer is to understand the core business processes of the business unit and business requirements as well as the architecture patterns and technology strategy (e.g., Transformation, SmartCore, DevOps). Conceive and write detailed software implementations/code while ensuring that their code/configurations adhere to the security, logging, error handling, and performance standards and non-functional requirements. Writes, configures, and integrates code to create the software that aligns with architecture patterns and technology strategy. Understands the implications of various components (including technology strategy & architecture) to the overall design of a program, system, or eco-system. Evaluates new technologies for fit with the program/system/eco-system and the associated upstream and downstream impacts on process, data, risk (e.g., security). Works toward the objective of defect free software. Ensures that systems functionally meet requirements, align with architecture and promote the development of common assets. Supports the resolution of production issues and problems. Makes recommendations to improve BMO processes & systems.
Supports research and development of development frameworks, and definition of standards.
Leads and implements initiatives as required to deliver business objectives.
Conducts independent analysis and assessment to resolve strategic issues.
Builds effective relationships with internal/external stakeholders and ensures alignment.
Monitors and tracks performance, and addresses any issues.
Reviews the work of other team members as required.
Provides input into the planning and implementation of operational programs.
Decomposes business requirements and translates them into detailed design specifications and code.
Interacts with key business & technology stakeholders to define, analyze, and deliver requirements that reflect the needs of both the business and end-customers.
Assesses the costs and benefits for different solutions and recommend/decide on appropriate designs.
Designs solutions, writes code, performs unit testing, develops appropriate artefacts / documentation, and facilitates final delivery.
Supports production issues, includes independently completing root-cause analysis and diagnosis.
Devises new algorithms and data structures for target environment and platform attributes in alignment with architectural patterns.
Builds solutions that are supportable, scalable and achieve our aspiration of common assets.
Recommends or automates approaches to streamline and integrate technological processes and/or systems to improve operational efficiency and effectiveness.
Supports the management of specific project deliverables & outcomes.
Identifies opportunities to strengthen the development capability, such as: sharing expertise to promote technical development, mentoring employees, building communities of practice and networks.
Stays abreast of industry technical and business trends through participation in professional associations, practice communities & individual learning.
Focus is primarily on business/group within BMO; may have broader, enterprise-wide focus.
Exercises judgment to identify, diagnose, and solve problems within given rules.
Works independently on a range of complex tasks, which may include unique situations.
Broader work or accountabilities may be assigned as needed.
Qualifications:
Typically 2-4 years of work experience in IT or business environment and/or B.S./B.A. in computer science, engineering, information systems, math or business
Proficient level of knowledge in domain.
Knowledge of software development practices, concepts, and technology obtained through formal training and/or work experience.
Knowledge of required programming languages and can code with little oversight.
Knowledge of technical/business environment and processes.
Understand functional aspects and technical behavior of the underlying operating system, development environment, and deployment practices.
Have facility with and understanding of the ecosystem that code operates in.
Technical proficiency gained through education and/or business experience.
Verbal & written communication skills - In-depth.
Collaboration & team skills - In-depth.
Analytical and problem solving skills - In-depth.
Influence skills - In-depth.
Data driven decision making - In-depth.
We’re here to help
At BMO we are driven by a shared Purpose: Boldly Grow the Good in business and life. It calls on us to create lasting, positive change for our customers, our communities and our people. By working together, innovating and pushing boundaries, we transform lives and businesses, and power economic growth around the world.
As a member of the BMO team you are valued, respected and heard, and you have more ways to grow and make an impact. We strive to help you make an impact from day one – for yourself and our customers. We’ll support you with the tools and resources you need to reach new milestones, as you help our customers reach theirs. From in-depth training and coaching, to manager support and network-building opportunities, we’ll help you gain valuable experience, and broaden your skillset.
To find out more visit us at https://jobs.bmo.com/ca/en .
BMO is committed to an inclusive, equitable and accessible workplace. By learning from each other’s differences, we gain strength through our people and our perspectives. Accommodations are available on request for candidates taking part in all aspects of the selection process. To request accommodation, please contact your recruiter."
Ministry of Health,PHARMACIST,"If you are a licensed pharmacist looking for an opportunity to make a difference in the public health system, consider this opportunity to use your clinical pharmacy knowledge and analytical skills to facilitate the processing of physician requests for access to medications through the Exceptional Access Program.
What can I expect to do in this role?
As a Pharmacist, you will:

Assess requests for coverage of drug products that are not listed on the formulary of the Ontario Drug Benefit Program.
Review requests against approved clinical criteria, and prepare decision responses to physicians.
Collaborate with external expert reviewers on criteria and funding recommendations through the Committee to Evaluate Drug (CED) Consultant review process.
Develop, recommend and implement policies and procedures to ensure effective service delivery.
Provide clinical and policy advice to physicians, pharmacists, consumers and other stakeholders.
Facilitate the development, maintenance and extraction of information from the ministry's computer database.

How do I qualify?
Mandatory
Bachelor's degree in Pharmaceutical Sciences (B.Sc Pharm., BSP or equivalent) and Part A licensure from the Ontario College of Pharmacists.

Technical Knowledge:
You have knowledge of pharmacology and clinical therapeutics to provide sound clinical advice and expertise.

Analytical and Problem Solving Skills:
You can identify and resolve potential problems, and provide recommendations.
You can participate in the development and implementation of operational policies.

Communication and Interpersonal Skills:
You can provide consultation to clients or stakeholders to identify and resolve potential conflicts or contentious issues.

Computer Skills
You can retrieve and assess information from pharmaceutical databases.

Additional Information:
Address:
1 Permanent, 5700 Yonge St, North York, Toronto Region

Compensation Group:
Association of Management, Administrative and Professional Crown Employees of Ontario

Understanding the job ad - definitions
Schedule:
6

Category:
Health and Social Services

Posted on:
Monday, September 27, 2021

Note:
T-HL-169174/21"
