company,job_header,job_description
Cash App,"Emerging Machine Learning Developer, Intern","Company Description

Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.

Job Description

Who are we?
Dessa helps the world's largest organizations reinvent what's possible with machine learning. Founded in 2016, the company has excelled at applying cutting-edge ML techniques to generate significant value in industries ranging from finance to telecommunications. Today, the company empowers teams to build and deploy enterprise-grade ML applications at scale with Foundations Atlas and Orbit.

What is the opportunity?
We are looking for an Emerging Machine Learning Developer Intern to join our Product Engineering Team this fall ('21) who is passionate about code craftsmanship, continuous improvement, agile development and machine learning. This is an opportunity to see the technical challenges involved in deploying AI systems and contributing to novel software that addresses those challenges, and will last for 12-16 months.

What will you do?
Support in the development of AI enablement applications and suite of products
Conduct experiments involving machine learning ideas from the forefront of research
Share and present findings to team members and clients alike
Write, compile, and edit technical documents
- Actively take part in educational activities: e.g. giving tech talks, running webinars, internal hack-a-thons, meetups, and dojos.

What’s in it for you?
Work with purpose: contribute to cutting edge AI enablement applications that drive real business impact across industry verticals
Opportunity to work with leading machine learning experts on cutting-edge problems
Opportunities to develop relationships with a variety of industry decision-makers, subject-matter experts, software developers, and machine learning specialists
Split time between your work duties and pursuing personal machine learning passion projects with mentoring from our machine learning experts
Participate in feats of strength and lively company events that build your career toolkit while also enjoying a work-life balance
Enjoy a company work environment that encourages self-expression, creativity, honesty, and learning

Qualifications

Candidates should have:
Ability to work as an intern for 12-16 months, starting in fall 2021
Deep experience with Python
Interest and strong ability to learn other programming languages as needed
Strong command of probability and statistics
Hands-on experience with rapid prototyping using public open source libraries and APIs
A unique blend of creative and critical thinking; must be self-driven and capable of working in a fast-paced environment

Nice to have:
Contributes to open-source projects
Develops applications / algorithms outside of normal schoolwork
Experience with machine learning, data wrangling, and data visualization
Exposure to large-scale software development, cloud development, distributed computing systems, natural language processing, and data-centric business intelligence tools

Additional Information

We’re working to build a more inclusive economy where our customers have equal access to opportunity, and we strive to live by these same values in building our workplace. Square is a proud equal opportunity employer. We work hard to evaluate all employees and job applicants consistently, without regard to race, color, religion, gender, national origin, age, disability, pregnancy, gender expression or identity, sexual orientation, citizenship, or any other legally protected class.
We believe in being fair, and are committed to an inclusive interview experience, including providing reasonable accommodations to disabled applicants throughout the recruitment process. We encourage applicants to share any needed accommodations with their recruiter, who will treat these requests as confidentially as possible.
Additionally, we consider qualified applicants with criminal histories for employment on our team, and always assess candidates on an individualized basis.
Square, Inc. (NYSE: SQ) builds tools to empower businesses and individuals to participate in the economy. Sellers use Square to reach buyers online and in person, manage their business, and access financing. Individuals use Cash App to spend, send, store, and invest money. And TIDAL is a global music and entertainment platform that expands Square's purpose of economic empowerment to artists. Square, Inc. has offices in the United States, Canada, Japan, Australia, Ireland, Spain, Norway, and the UK."
Deep Genomics,Graduate Research Intern (Machine Learning),"About us
Deep Genomics is a Toronto-based startup company that is changing the future of medicine using artificial intelligence. Founded in 2015, Deep Genomics brings together a multidisciplinary team of world-leading experts in machine learning, genomics, chemistry and biology. Together we are on a mission to develop an AI-powered platform for rapid discovery and development of the best genetic medicines, focusing on oligonucleotide drugs for the treatment of patients with rare genetic diseases.

Job Description
We are seeking exceptional graduate students for an 8 to 12-month internship in 2021. Deep Genomics is poised to become the foremost AI-powered genetic medicine company by using data-driven approaches at every step of the drug design process. This involves a series of steps from processing raw genomic data, to training and evaluating large-scale machine learning models and applying them to accelerate target discovery and drug design. With the help of experimental data generated as part of our drug discovery process, our models continuously improve by learning from both successes and failures. Successful candidates will have an opportunity to contribute to the AI revolution in Genomics and help better understand and cure genetic disease by working closely with our research scientists and engineers on problems that are highly relevant to our mission.

Our ML team works on developing our state-of-the-art AI workbench and using it to answer critical scientific questions. Collaboration is at the heart of our teams, we often:
Meet with engineers and scientists with genomics, molecular biology, and medicine backgrounds to identify unique problems and brainstorm technical solutions
Present our analyses to a broad multi-lingual audience to ensure statistical robustness and reproducibility
Organize internal hackathons to quickly prototype solutions to problems
Requirements
Currently enrolled in a graduate program at a top-tier university in Computer Science, Electrical or Computer Engineering, Mathematics, or a related discipline.
Experience with designing, training, debugging and evaluating neural networks using modern frameworks such as Tensorflow or PyTorch.
Excellent scientific writing and presentation skills.
Programming experience in at least one of Python, C or C++
Strong organizational, interpersonal, and communication skills.
What we offer
Opportunity to collaborate with leading scientists working at the intersection of ML and genomics and contribute to this rapidly advancing field
Inspiring, creative and fast-moving startup located right next to the University of Toronto and within the MaRS Discovery District – an expanding hub of research in AI and genomics
Competitive compensation package
Deep Genomics thanks all applicants, however only those selected for an interview will be contacted.

Deep Genomics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
HomeX,Machine Learning Co-op (Winter),"HomeX is an end-to-end technology and services platform for both homeowners and service providers, radically improving the historically complex and fragmented home services industry.

Our technology team includes a dedicated Applied Science group, where world-leading natural language and knowledge engineers, use these skills to solve customer problems and build the HomeX consumer experience.

As an intern in the HomeX Applied Science group, you’ll have the opportunity to work on an independent project. You’ll have assistance from our group at every turn, but you will be able to apply your research and engineering knowledge to solve a complex real-world problem. You’ll create data-driven solutions that allow homeowners and technicians to solve problems in the home quickly and efficiently. You’ll write code to train, test, deploy and evaluate ML models, using Python (numpy, pandas, Tensorflow) in one of the following areas: NLU, machine perception, machine reasoning, knowledge engineering, and ontology.

About You
You’re a naturally curious problem solver. You love technology, but you always have an eye on solving problems for your customers. When faced with a challenge, you enjoy diving in, learning from experience, and applying what you learned to improve. You keep an open mind and actively seek out new information, whether it’s the latest research in a field you’re passionate about, or recent developments in technologies, and adapt your approach as you go to solve the problem at hand. You’re able to make progress by yourself, but you’re unafraid to ask for help when you need it. You diligently apply your high standards in everything you do, and you hold others to those same high standards.
Job Responsibilities:
Ownership over your project with support from your teammates and mentor
Work closely with other team members to develop features and improve our codebase
Discuss, help, plan and prepare features to be worked on with the team
Deliver high quality and well tested code
Components of HomeX Internship Program:
Can tackle an ownable, real-world project and present key findings to the HomeX team
Participate in team meetings - share ideas and help brainstorm solutions
Participate in regular employee orientation, with introductions to each of our business units and key functions
Weekly meetups with deep dives into the inner workings of specific projects and teams, from sales operations to content strategy and more
Fireside chats with the CEO and the President
Dedicated mentorship from a senior team member, in addition to your direct manager
End-of-term capstone presentation, where you get to show off your project to folks across the company
Inclusion in all HomeX employee events, including (virtual) socials and monthly All Hands presentations
Required Skills:
Ideally majoring in Computer Science, Computer Engineering, Mathematics or a similar STEM based major
Interest and/or experience in natural language understanding and machine learning
Familiarity or interest to learn about some of the most innovative technologies, in the languages we work in (ex. TypeScript, Node, Python)
Strong attention to detail
You are proactive in finding solutions to problems
You can collaborate and communicate strongly
You want to make a difference and have an impact
About HomeX
Do you want to reinvent a trillion-dollar industry? HomeX is a radically better home services platform combining world-class technology and next generation service operations. We are reshaping the experience for both consumers and businesses in the trillion-dollar home services industry.

Being radically better requires new end-to-end solutions for both consumers and technicians. This is why HomeX is combining a technology platform for the entire industry, a managed service network, and full-service experiences for consumers. Creating this integrated ecosystem enables us to deliver uniquely simple and personalized solutions that are redefining home services.

HomeX has experienced exponential growth because of our commitment to evolve the industry, our determination to be a positive force, and our passion for groundbreaking technology. Joining HomeX now is a once in a lifetime career opportunity for anyone passionate about making a difference and making history in consumer technology.

Check out our recent press, including TechCrunch's coverage of our $90M raise, here.

Why work with us? Working at HomeX means collaborating with experienced, people-first leaders with a clear vision and a track record of success, as well as the close-knit camaraderie of a team of highly talented and motivated coworkers. We offer a collaborative, positive working environment where we encourage employees to balance productivity with the need to recharge the batteries. And of course, you get paid pretty well - we offer competitive compensation packages, including equity, performance-based incentives and competitive benefits for full time employees.

Note: All HomeX offices are currently closed due to the coronavirus pandemic. As of June 2021, we plan to reopen offices mid summer, pending local regulations, and will expect most employees to work onsite 2-3 days per week by the end of the year.

HomeX values diversity in the workplace and is an equal opportunity employer. We are committed to providing an inclusive and accessible work environment. We thank all candidates who apply, but only those selected for an interview will be contacted. If you require accommodation, please let us know. We will work with you to meet your needs"
Shaw Communications,Data Analyst Intern - Temporary (6 months),"A little about us

What we do at Shaw matters - in a world where being connected has never been more critical, we bring the best wireline and wireless technology and solutions together to create exceptional customer experiences. Every day we help millions of Canadians live their best-connected lives through the strength, capacity and combined power of our Fast LTE and Fibre+ networks.
At Shaw we say we’re brighter together, and we believe it’s the diverse mix of brilliant people here that really makes us shine. When you join our team, you’ll see we are so much more than just a company. Shaw connects you with limitless opportunity, an incredible culture, career development and a great benefits package. We are a friendly, collaborative group, and we have a lot of fun finding new ways to delight our customers.
Come dream bigger and brighter with Shaw.
The role
As a Data Analyst Intern, you will directly report to the Manager, Analytics and Measurements and will be responsible for supporting the team in exploring the use of existing tools to build the process and pipeline between Analytics and Data Science. The internship project will answer the question “what level of depth can be done by our analytics team and turn in to a request for the modeling teams? What does that handoff look like?”. The role will leverage and evolve existing technologies and data sources to collect, compile, and transform data in a production environment. This person should love thinking about the data needed to influence and augment the data models and how to test possible Data Science use cases in a tool such as Alteryx with simplified machine learning capabilities.

The ideal candidate thrives at delivering automated and efficient solutions to data problems. Knowledge of data, analytics, statistics and data science techniques is an asset.
A typical day
Using SQL and Python to manipulate large volumes of data to support business requirements
Learn and test simplified data science tools
Manage and test data automation of recurring processes
Own the development and on-going maintenance of various ETLs
Data discovery and audits as needed
Support ad hoc analysis & reporting for the Analytics & Measurement team as needed
Your skills/experience
Education in Computer Science, Mathematics or Statistics degree
Experience in data transformation and loading to physical tables or distributed storage environment
SQL skills with hands on experience of manipulating and analyzing customer database data
Experience with Python, R, SAS and other data analytical tools. Loves data and finding ways to be efficient including automation.
Other details
This position requires the successful completion of a criminal and credit background check
This role is ideally based in Calgary, Toronto or Vancouver
No Travel Required
At Shaw, we believe diversity and inclusion are integral to the continued growth and success of our entire company. We believe diversity and inclusion enhances our Company’s culture and creates a sense of belonging where people feel comfortable bringing their true selves to work. This in turn promotes innovation through harnessing the variety of experiences, thoughts, and perspectives our employees have to offer. We encourage applications from all qualified individuals, regardless of race, gender, age, or any other identifying characteristic.
Shaw Communications, through its third-party vendor, collects and stores information applicable to the candidate profile you create when you submit the information asked for below. The use and disclosure of the collected information is for the sole purpose of job search and placement activities for Shaw Communications. The information is subject to Personal Information Protection and Electronic Documents Act. The information will be retained and when disposed of, it is done so in a secure manner. Your profile will become inactive and moved to the archive if you do not access your profile for a period of 1 year."
Deloitte,"Analyst, Risk Advisory - Winter 2022 or Summer 2022 Co-op/In...","Job Type: Co-op/Intern
Primary Location: Multiple Locations, Canada
All Available Locations: Halifax; Montreal; Ottawa; Quebec City; Saint John; St. John's; Toronto; Winnipeg

Our Purpose
At Deloitte, we are driven to inspire and help our people, organization, communities, and country to thrive. Our Purpose is to build a better future by accelerating and expanding access to knowledge. Purpose defines who we are and gives us reason to exist as an organization.
By living our Purpose, we will make an impact that matters.
Are you ready for a challenge? Join our Deloitte’s Risk Advisory practice for your coop/internship, where you can help our clients’ gain a new view of risk.
What will your typical day look like? There are no typical days! Working in Risk Advisory offers a dynamic, fast-paced environment, which presents you with the opportunity to continually grow and learn from people with different backgrounds and workings styles. Your days will be filled with impact – professionally, socially, and personally. Professionally, you will synthesize and communicate complex analyses to senior executives for them to take effective action at their global organizations. Socially, you will work through exciting challenges with peers and colleagues, solving complicated and substantial problems. Personally, you will share your successes and learnings with colleagues that will expand your network and become colleagues for life.
About the team
At Deloitte, we believe taking risks is a business imperative. Risk Advisory professionals are advisory specialists that help our clients navigate business risks and opportunities, embrace complexity, accelerate performance and gain competitive advantage
As a co-op/intern, you will be aligned to a specific service offering based on the advisory stream of your choosing. The availability of advisory streams and service offerings is dependent on individual business needs and differs per regional office.
Advisory Streams:
Controls and Assurance Advisory (stream available in all offices):
Analysts in this stream have an interest in risk and controls, audit methodologies, business and IT operations, IT risk, analytics and data visualization
Assigned service offering may include: Internal Audit, IT & Specialized Assurance, Extended Enterprise, Digital/AI Controls/Algorithms.
Business Advisory (stream available in Toronto, Calgary, Vancouver, and Montreal offices):
Analysts in this stream have an interest in business operations, facilitation, problem solving, data analysis and data visualization.
Assigned service offering may include: Extended Enterprise, Sustainability, Financial Industry Risk & Regulatory, Crisis and Resilience, Financial Crime.
Technical Advisory (stream available in Toronto office):
Analysts in this stream have an interest in coding, IT acumen (operating systems/databases/applications), artificial intelligence and machine learning, data analytics and data visualization.
Assigned service offering may include: Digital/AI Controls/Algorithms, Crisis and Resilience, Financial Industry Risk & Regulatory, IT & Specialized Assurance and Internal Audit.

Please note that available service offerings within each advisory stream differ for each region to align to their specific business needs and resourcing requirements. Candidates pursuing their CPA designation should select the Controls and Assurance Advisory stream to obtain experience that will count towards their CPA designation requirements.
Enough about us, let’s talk about you
In this role, the expected qualifications are:
Enrolled in a post-secondary degree
An inclusive team player who is passionate and motivated
Excellent communicator and relationship builder
Proficient in spoken and written English; Bilingualism in English and French is required for the Quebec Region
Self-starter and able to conceptualize creative approaches and solutions
Curious and comfortable with ambiguity
Dedicated to providing meaningful service to our clients
Some level of travel may be required
Our shared values
While our Purpose guides us and helps explain why we exist, our shared values describe the behaviour we expect from each other at the firm.
They provide common ground to unite us across cultures and geographies. They help us to earn the trust and respect of our stakeholders. We all commit to living by these shared values, to stay true to the principles they represent, and to honour the legacy from which they came. They are what sets us apart and makes us Deloitte.
Every day, we live our Purpose through the following five shared values:

Lead the way: Deloitte is not only leading the profession, but reinventing it for the future. We’re also committed to creating opportunity and leading the way to a more sustainable world.
Serve with integrity: Deloitte has earned the trust of employees, clients, regulators, and the public for 175 years. Upholding that trust is our single most important responsibility.
Take care of each other: We look out for one another and prioritize respect, fairness, development, and well-being.
Foster inclusion: We are at our best when we foster an inclusive culture and embrace diversity in all forms. We know this attracts top talent, enables innovation, and helps us deliver well-rounded client solutions.
Collaborate for measurable impact: We approach our work with a collaborative mind¬set, teaming across businesses, geographies, and skill sets to deliver tangible, measurable, attributable impact.

The next step is yours
Sound like The One Firm. For You? Apply now! Deadlines to apply:
1) Ottawa & Toronto: September 12, 2021 at 11:59 PM EST
2) Montreal: September 22, 2021 at 11:59 PM EST
3) Halifax, Saint John, St Johns: September 23, 2021 at 11:59 PM EST
2) Quebec City: September 29, 2021 at 11:59 PM EST
4) Winnipeg: October 4, 2021 at 11:59 PM EST
To be considered, you must submit your cover letter, resume and unofficial transcript in ONE PDF document.
At Deloitte, we are all about doing business inclusively – that starts with having diverse colleagues of all abilities. Deloitte encourages applications from all qualified candidates who represent the full diversity of communities across Canada. This includes, but is not limited to, people with disabilities, candidates from Indigenous communities, and candidates from the Black community in support of living our values, creating a culture of Diversity Equity and Inclusion and our commitment to our AccessAbility Action Plan, Reconciliation Action Plan and the BlackNorth Initiative.
We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation for the recruitment process (including alternate formats of materials, accessible meeting rooms or other accommodations). We’d love to hear from you!
By applying to this job you will be assessed against the Deloitte Global Talent Standards. We’ve designed these standards to provide our clients with a consistent and exceptional Deloitte experience globally. Deloitte Canada has 30 offices with representation across most of the country. We acknowledge our offices reside on traditional, treaty and unceded territories as part of Turtle Island and is still home to many First Nations, Métis, and Inuit peoples. We are all Treaty people."
Cerebras Systems,PEY Software & Machine Learning Engineering Intern – Spring...,"Cerebras has developed a radically new chip, system, and software stack to dramatically accelerate deep learning applications. Our system runs training and inference workloads orders of magnitude faster than contemporary machines, fundamentally changing the way ML researchers work and pursue AI innovation. Our latest system, the CS-2, has 850,000 linear algebra processors and can train brain-scale neural networks with up to 120 trillion parameters.
Cerebras Toronto
Cerebras is based in Sunnyvale, California, with its second engineering hub – the AI Centre of Excellence – located in Downtown Toronto. Toronto houses our Machine Learning and Software organization and has some of the most talented ML, optimization, and high-performance computing talent in the world. We have already built out an experienced team of over 50 engineers and computer scientists that are driving forward the next generation of our machine learning stack. Join us!
About the Role
Our products are now being used to solve some of the most pressing issues in society, including cancer research, drug development, fusion simulation, and the invention of new materials. We are looking for talented individuals to help us invent new ways of utilizing our platform for machine learning within our Machine Learning and Software Organizations.
Requirements
Bachelor's degree and enrollment within the PEY program at University of Toronto
Strong Python and C++ programming skills
Strong fundamental knowledge of OOP, Data Structures & Algorithms, Computer Architecture and/or Machine Learning
Preferred
Familiarity with TensorFlow, PyTorch or Caffe
Familiarity with GPU, CPU, or parallel architectures
Experience in vertical such as computer vision, language modeling or speech recognition
Location
Toronto"
Nestlé,Data Scientist Intern,"A little bit about us
Good Food, Good Life is the very essence of Nestlé. This philosophy can be traced back to our beginnings. The Nestlé Company was founded in 1867 by Henri Nestlé, who developed the first milk-based baby formula. Today, 150 years later, we are recognized as the world’s largest Food and Beverage Company employing around 280,000 people and have factories or operations in almost every country in the world. Nestlé Canada has a wide variety of food, beverage and nutrition products to help you and your family live happier and healthier lives including: Gerber and Good Start, Nescafé, KitKat, Smarties, Aero, Delissio, Häagen-Dazs, Boost, Purina, and Nestlé Waters. Nestlé Canada supports your personal growth with a people-focused culture and a flexible and diverse working environment. Our aim is to create a unique career experience for talented young professionals like you. Join us to find out why, There is more to Life at Nestlé…
Position Snapshot
Business areas: Nestle Canada
Job title: Data Scientist Intern
Location: North York
Position Summary
We are looking for a Data Scientist Intern based at our North York Location from May to August 2022. This role will be responsible for engaging with stakeholder to understand the business needs to produce insightful, actionable analytics and KPI’s.
A day in the life of...
As a Data Scientist Intern you will be working on the Analytics team, to empower business partners by providing powerful tools and insightful analytics.
You will also:
will explore data, answering questions and finding new business opportunities. You will perform ad hoc analysis producing valuable insights to business stakeholders
engage with stakeholders to understand the business needs to produce insightful, actionable analytics and KPIs
Add value to the business by working on key decision support solutions from various facets of our business
Build your business acumen and leadership capabilities and support your developme
Build Robotic Process Automation apps to automate manual tasks.
What will make you successful
As the successful candidate, you will have a passion for solving challenging issues, through seeing a story behind the numbers. You are curious for discovery, able to think outside the box, and can understand the user needs and translate the tech language.
You will also:
Currently enrolled in a Computer Science program or a related discipline.
Have solid programming experience in Python (must have) and VBA (nice to have).
Have good knowledge about how to build machine learning models.
Full stack web developer with ability to build web-based apps is a strong plus.
A proactive creative thinker who can generate new ideas/solutions to meet end user requirements.
Ability to cultivate business relationships with strong interpersonal, communication and presentation skills.
Fast learner, and must be comfortable working within a dynamic, challenging environment.
Results oriented with proven exceptional analytical and critical thinking skills.
Good foundational understanding of statistical, predictive modelling, machine learning.
Strong coding skills.
Experience with data visualization tools is a plus (QlikView, Microsoft BI)
We have a friendly, supportive team with a coaching and mentoring environment. There are real opportunities for future development and progression – this really could be a move towards the exciting Financial career you’ve always wanted.
What you need to know
What can we offer in return? Excellent training and development programs as well as opportunities to grow within the company. You will also receive developmental feedback throughout your work-term to ensure that you are learning and understanding the importance of Finance within the world’s largest food company. You will also build your business acumen and leadership capabilities and support your development and long-term success.
The closing date for applications is September 30, 2021. We will be considering applicants as they apply, so please don’t delay in submitting your application.

Nestlé is an equal opportunity employer committed to diversity and inclusion. If you are selected to participate in the recruitment process, please inform Human Resources of any accommodations you may require. Nestlé will work with you in an effort to ensure that you are able to fully participate in the process."
Google,"Research Intern, MS, Summer 2022","Please complete your application before February 16th, 2022. Participation in the internship program requires that you are located in Canada for the duration of the internship program.
NOTE: This internship is intended for students who are pursuing a MS degree with an anticipated graduation date before December 2023, depending on their program and unique circumstances. If you are graduating after December 2023, we encourage you to apply to the Student Researcher opening.
To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English (PDFs preferred). Please ensure your anticipated graduation dates (in MM/YY) and any proficiency in coding languages are listed on resume.

Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following: Waterloo, ON, Canada; Montreal, QC, Canada; Toronto, ON, Canada
Minimum qualifications:
Currently enrolled in a Master's degree in Computer Science, Linguistics, Statistics, Biostatistics, Applied Mathematics, Operations Research, Economics, Natural Sciences or a related technical field.
Experience in one area of computer science, e.g., Natural Language Understanding, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Quantum Information Science, Data Science, Software Engineering, or similar.

Preferred qualifications:
Currently attending a degree program in Canada.
Availability to work full-time for a minimum of 12 weeks outside of university term. Ability to return to a degree program after completion of the internship.
Relevant experience as a researcher, including internships, full-time, or at a lab.
Experience contributing research communities or efforts, including publishing papers in major conferences or journals.
Experience with one or more general purpose programming languages
Ability to speak and write in English fluently.
About the job
Join us for a full-time, 12-14 week paid internship that offers personal and professional development, an executive speaker series, and community-building. Research happens across Google everyday, in many different teams. Our research has already impacted user-facing services across Google, including Search, Maps, and Google Now, and is central to the success of Google Cloud and our planet-scale computing, storage, and networking infrastructure.
Research Interns aren't cloistered in the lab, but instead they work closely with Engineers to discover, invent, and build at the largest scale. Ideas may come from internal projects. From creating experiments and prototyping implementations to designing new architectures, Research Interns work on challenges in artificial intelligence, machine perception, data mining, machine learning, natural language understanding, privacy, computer architecture, networking, operating systems, storage and data management, and much more.
Research happens at Google everyday, on many different embedded teams throughout the company. Our research reaches the user through both services and products such as Search, Maps, Google Assistant, Google Translate, Google Cloud and our computing, storage, and networking infrastructure. To achieve this, we’re working on a wide variety of projects that utilize the latest state-of-the-art technologies that push the boundaries of what is possible.
Responsibilities
Develop and execute a research agenda
Create and support a productive and innovative team, including working with peers, managers, and teams.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form."
Jerry,Recruiter Intern,"We’d love to hear from you if you like:

Start-up energy working with a brilliant and passionate team
$900 billion market opportunity
Exponential growth (10X revenue in 2020)
Rockstar teammates. You will be working with a strong leadership team from Facebook, Alibaba, Amazon, Lending Club, GEICO, SoFi, etc.

About the job:

We are looking for recruiting interns who have a deep curiosity and passion for learning to join our team!

We are in hyper-growth mode and have aggressive goals to scale our teams across all departments. This opportunity does not require any particular prior experience but rather a set of fundamental characteristics - hustle, resourcefulness, drive, intellectual curiosity, and diligence. The pace of learning and growth opportunities at a fast-paced startup is exponential and afforded to those who demonstrate a high level of competency in their assigned roles and a commitment to their continued development. If you’re looking for an opportunity to accelerate your career in a high-impact, fast-paced environment, we are hiring!

Responsibilities:

Source, evaluate, and interview top talent to support ongoing team growth across marketing, product, design, business development, content, editorial, sales, finance, and operations
Partner with hiring managers to define quarterly hiring goals, sourcing strategy, and KPIs
Manage candidates throughout our pipeline and move candidates through interview stages diligently and quickly
Make observations and recommendations about our current recruitment and onboarding processes to continue improving efficiency and our overall candidate experience

About you:

You are a high-achiever who thrives in a competitive environment
You can process information from the perspectives of others
You are incredibly tenacious and are not easily discouraged or deterred by obstacles
You are a strong communicator and can summarize information in a concise and compelling manner

Hard requirements:

Bachelor's Degree from a competitive program
1-3 years experience in fast-paced sales, marketing, hospitality, or related environment
About Jerry:

Jerry is building the first Super App to save car owners time and money on all their car expenses. Drivers deserve better. That’s why we’re committed to making shopping for insurance, financing, maintenance, repairs, parking and more just a few clicks, texts, or swipes away.

Jerry is taking processes that haven’t substantively changed in decades and reimagining and redesigning them. Using artificial intelligence, machine learning and bots, Jerry eliminates the need for long forms and phone calls while providing personalized services for all car-owners’ needs.

Today, Jerry is the #1 rated and most downloaded app in its category and the fastest way to compare and buy car insurance. We just passed our 1M customer mark in the car insurance category and we are just getting started. Jerry is replicating that frictionless experience in other car expense categories.

Join our team of curious and passionate people who love tackling real-world problems and be a part of building a revolutionary product that’s disrupting a massive market.

Jerry was founded in 2017 by serial entrepreneurs who previously built and scaled YourMechanic and has raised more than $130 million in financing."
RBC,Data Scientist - Winter 2022 Intern (8 month Co-op),"During the course of the work term you agree that you will be working from a remote / home office location, in Canada (unless otherwise noted as an essential worker) in accordance with any applicable RBC policy. You confirm that you have the capability to work from a remote / home location in Canada. Your direct manager will review and approve any details related to your remote work arrangement.

What is the opportunity?
You will play a key role in CBO (Canadian Banking Operations) Data & Analytics COE to support a number of strategic priorities which advance data analytics and governance capability in Operations. The role will lead and participate in a number of initiatives to work with our key business and enterprise partners to analyze large data sets, create/scale data science models and support data pipelines for prioritized use cases.

What will you do?
Work with large data sets (both structured and unstructured) across multiple source systems for extraction, processing, exploration and analysis
Supporting engineering of data pipelines end to end to support prioritized business insight use cases
Build and apply advanced statistical and deep learning models (data mining, forecasting, supervised machine learning, natural language processing etc.) as appropriate to test business hypotheses and built data products
Data storage management. Gather, combine and aggregate data from different data sources into Cloud and standardized CBO data storage.

What do you need to succeed?
Must-have
Experience with Python, SQL programming
Strong data profiling, cleaning, and mining skills. Ability to perform complex data analysis on large volumes of data and present findings to stakeholders.
Strong communication skills both written and verbal

Nice-to-have
Experience with Hadoop Data Lake, Datameer
Experience with Tensorflow or PyTorch
Relevant Cloud certification
Experience in business ops centers or national office functions around forecasting and capacity planning

OAA2022

Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at rbc.com/careers.

JOB SUMMARY
City: Toronto
Address: 20 Bay Street (Virtual)
Work Hours/Week: 37.5
Work Environment: Your Home Office
Employment Type: [[filter7]]
Career Level: Student Job
Application Deadline: 10/03/2021
Platform: Personal & Commercial Banking
Req ID: 416943
Ad Code(s):"
