company,job_header,job_description
"Zoom Video Communications, Inc.","Machine Learning Scientist, NLP","Responsibilities
You will be the key player in a talented machine learning and NLP team to:
Research and investigate the latest technologies in text NLU such as information extraction, classification, conversation intelligence, etc;
Develop text NLU and ML applications for various Zoom products;
Create and customize ML/DL models and NLP techniques for Zoom core products;
Collaborate with various teams including offshore teams, communicating requirements, providing technical leadership, code review, production integration and deployment, and result evaluation.
Requirements
Ph.D in NLP, Machine Learning, Computer Science or a related technical field;
Expertise knowledge in NLP such as text classification, sentiment analysis, topic modeling, text summarization, ranking, text similarity, tokenization, word/sentence/doc embedding, NER, POS (Part-Of-Speech) tagging and parsing, intent detection, slot filler, dialog flow, conversational AI, KB graph, machine translation, etc;
Knowledge in multilingual models
Ability to understand the latest research paper in ML/DL/NLP, build models based on it, and reproduce published result;
Hands-on experience in text pre-processing and normalization techniques, such as tokenization, word embedding, NER, POS (Part-Of-Speech) tagging and parsing and how they work at a low level;
Expertise in Machine Learning (ML) / Deep Learning (DL) and NLP algorithms (CNN, LSTM, BERT, XLNet, GPT etc), techniques (transfer learning, transformers, etc). Hands-on experience on developing and training models with large-scale text data;
Experience with open-source ML / DL / NLP toolkits such as TensorFlow, Caffe, PyTorch, CoreNLP, OpenNLP, StanfordNLP, SpaCy, AllenNLP, NLTK, gensim, etc.
Preferences
Papers in well known NLP publications
Experience in frontier topics such as GPT-3, Reinforcement Learning and its applications in NLP is highly desirable;
Industry experience in machine learning applications in production is preferred.
Strong analytical skills and attention to detail. Strong mastery of Python or other programming languages, and general software development skills (source code management, debugging, testing, deployment, etc.);
Mastery in English language. Deep understanding of English linguistics;
Mastery in one or more non-English languages.
Have experience in most but not all of these areas? We’d still love to hear from you! Please apply and we’ll get back to you if there’s a fit.
Ensuring a diverse and inclusive workplace where we learn from each other is core to Zoom’s values. We welcome people of different backgrounds, experiences, abilities and perspectives including qualified applicants with arrest and conviction records as well as any qualified applicants requiring reasonable accommodations in accordance with the law.
We believe that the unique contributions of all Zoomies is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.
All your information will be kept confidential according to EEO guidelines."
"Zoom Video Communications, Inc.","Machine Learning Engineer, NLP","Responsibilities
You will be the key player in a talented machine learning and NLP team to:
Develop text NLP and ML applications for various Zoom products;
Propose and design the best suitable ML and NLP models or algorithms based on the product requirements
Build ML pipelines such as model training, evaluation, and monitoring system and deploy in production utilizing AWS cloud;
Collaborate with various teams including offshore teams, communicating requirements, providing technical leadership, code review, production integration and deployment, and result evaluation.
Requirements
Ph.D or M.S. in NLP, Machine Learning, Computer Science or a related technical field;
Industry experience in machine learning applications in production.
Experience in developing pipeline components and processes, such as inference and training pipeline, model evaluation, monitoring, A/B testing etc.
Fluent in English writing and speaking, strong communication skills to work with different teams and stakeholders;
Expertise knowledge in NLP such as text classification, sentiment analysis, topic modeling, text summarization, ranking, text similarity, tokenization, word/sentence/doc embedding, NER, POS (Part-Of-Speech) tagging and parsing, intent detection, slot filler, dialog flow, knowledge graph;
Expertise in Machine Learning (ML) / Deep Learning (DL) and NLP algorithms (CNN, LSTM, BERT, XLNet, GPT etc), techniques (transfer learning, transformers, etc.). Hands-on experience on developing and training models with large-scale text data;
Experience with open-source ML / DL / NLP toolkits such as TensorFlow, Caffe, PyTorch, CoreNLP, OpenNLP, StanfordNLP, SpaCy, AllenNLP, NLTK, gensim, etc;
Strong mastery of Python programming language, and general software development skills (source code management, debugging, testing, deployment, etc.)
Preferences
Experience in Multilingual NLP Models
AWS experience such as EKS, ECR, S3;
Framework experience such as AirFlow, KubeFlow, MLFlow, TFServing, Seldon Core;
Production ML software development experience is preferred.
Strong analytical skills and attention to detail.
Have experience in most but not all of these areas? We’d still love to hear from you! Please apply and we’ll get back to you if there’s a fit.
Ensuring a diverse and inclusive workplace where we learn from each other is core to Zoom’s values. We welcome people of different backgrounds, experiences, abilities and perspectives including qualified applicants with arrest and conviction records as well as any qualified applicants requiring reasonable accommodations in accordance with the law.
We believe that the unique contributions of all Zoomies is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.
All your information will be kept confidential according to EEO guidelines."
Deep Genomics,Machine Learning Engineer (All levels),"About Us
Deep Genomics is a Toronto-based startup company that is building an AI-powered discovery and development platform to significantly expand the universe of medicines available for genetically defined diseases. Founded in 2015, Deep Genomics brings together a multidisciplinary team of world-leading experts in machine learning, genomics, chemistry, and biology. Together we are on a mission to rapidly discover and develop oligonucleotide drugs for the treatment of patients with severe disorders of the liver, central nervous system, and eye.

Ideal Candidate
Our predictive systems group brings together world-leading experts in biology, genomics, medicine, and machine learning. We are working on several ambitious projects to develop pioneering AI technology for understanding complex genetic diseases and enabling the discovery of novel targets as well as therapies. We are looking for an experienced machine learning engineer to lead the design and development of new models and pipelines and the infrastructure for scaling it up to the next level.
What You’ll Be Doing:
Working with our ML scientists to develop highly scalable models and algorithms for predicting molecular phenotypes using state-of-the-art neural network methodologies.
Developing evaluation, visualization, and productivity tools for streamlining machine learning research
Adapting our algorithms and architectures to best exploit modern cloud computing environments
Working with our software engineers, biologists and geneticists to operationalize and deploy research output to match the needs of stakeholders.
What You Bring:
Solid Engineering and Computer Science fundamentals, ideally with a degree in CS, Math, or equivalent experience.
Senior candidates should have experience in architecting, developing, and deploying large software systems in a leading position
Experience in building, testing, training, and deploying production-ready ML workflows.
Experience developing machine learning algorithms or machine learning infrastructure in Python or C/C++.
Experience with frameworks like PyTorch, Caffe2, Tensorflow, Keras, JAX, Chainer, etc.
Experience in the operationalization of Machine Learning projects (MLOps) using at least one of the popular frameworks or platforms (e.g. Kubeflow, AWS Sagemaker, Google AI Platform, Azure Machine Learning).
What we offer:
Leading role in developing the future of drug development to cure genetically defined diseases.
A highly competitive salary and meaningful equity compensation.
Exceptional opportunities for learning and growth.
A bright, collegial, highly motivated team working at the intersection of the most exciting areas of science and technology.
Deep Genomics thanks all applicants, however only those selected for an interview will be contacted.

Deep Genomics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
Affinity.co,"Senior Manager, Machine Learning","Remote ( Canada )
Affinity stitches together billions of data points from massive datasets to create a powerful, accurate representation of the world's professional relationship graph. Based on this data, we offer our users the insights and visibility they need to nurture and tap into the opportunities in their team's network.
In this role, you'll help create the magic that underlies Affinity's industry-leading relationship intelligence, by leading and scaling out Affinity’s Machine Learning team.
What you'll achieve:
Help design and build new ML systems, services, and models that have a large impact on both our customers and our business
Lead SCRUM processes eg. daily standups, sprint plannings, retrospectives
Lead complex technical, architecture, design, and product discussions
Provide coaching and mentorship to engineers on the team
Identify and fill gaps on the team, and create the processes necessary for the teams success
Scale out the team by hiring additional talented engineers to fill existing gaps and provide the necessary velocity to meet product goals
Help define our data roadmap. Which problems are amenable to AI/ML techniques, and which are better solved via simpler non-statistical methods? How might we define and evaluate data quality? Which models and techniques are best suited to our domain? You'll collaborate with our product and engineering teams to help to answer these questions and more.
Qualifications:
Required
You have 5+ years of experience in software leadership, including 2+ years of experience as a machine learning manager.
You are a builder and care deeply about building systems and products that deliver meaningful value to users
You have experience working with large, multi-terabyte datasets, and are comfortable with tools for high-scale data ingestion, transformation, analysis, and prediction
You take pride in delivering exceptionally high quality, in terms of data accuracy, performance, and reliability
You're excited to work collaboratively within engineering and across functional teams
You’re eager to contribute your ideas and experiences to help Affinity continuously improve as a product and as a company
Nice to have
Bonus points for specific experience with NLP techniques and domains, including Named Entity Recognition, Sentiment Analysis, and more.
What you'll enjoy at Affinity
We live our values as playmakers who are obsessed with learning, care personally about our colleagues and clients, are radically open-minded, and take pride in everything we do.
Health Care coverage and flexible personal & sick days. We want our team to be happy and healthy : )
We provide an annual budget for you to spend on education and offer a comprehensive L&D program – after all, one of our core values is that we’re #obsessedwithlearning!
We support our employee’s overall health and well-being and reimburse monthly for things such as; Transportation, Home Internet, Meals, and Wellness memberships/equipment.
Virtual team building and socials. Keeping people connected is essential.
About Us
At Affinity, we are passionate about helping dealmakers in the world’s biggest relationship-driven industries to find, manage, and close the most important deals. Our Relationship Intelligence platform uses the data exhaust of trillions of interactions between Investment Bankers, Venture Capitalists, Consultants, and other strategic dealmakers with their networks to deliver automated relationship insights that drive over 450,000 deals every month. We have raised over $120M and are backed by some of Silicon Valley’s best firms. With over 1700 customers in 70 countries on our platform, a Glassdoor rating of 4.9, and being ranked in the Inc. 5000 fastest growing companies, we need more great people to help us scale even more.
The more diverse our team is, the more we’ll be able to learn from each other, and the better our company and our product will be. Whatever your gender, race, sexual orientation, religion, age, veteran status, favorite Spotify playlist, or social, cultural, and economic background, we can’t wait to welcome you to Affinity!
Job Type: Full-time
Work Location: Multiple Locations"
Taeron Systems Inc.,Software Developer - Machine Learning and Drone Analytics,"Salary: $7,500.00/Monthly
Job Type: Full Time, Contract
Start Date: 2021-10-01

Language: English
Minimum Education: Diploma
Positions Available: 1

NOC Group: Software Engineers and Designers (2173)
NOC Job Title: Designer, Software
Expires in 18 days
Expires: 2021-10-15
Posted: 2021-09-21
Last Updated: 2021-09-21

Job Location(s)
6001 Grant McConachie Way
Richmond, British Columbia
V7B 1K3, Canada
Job Description
Software Developer - Machine Learning and Drone Analytics
Looking for a new opportunity in the Aerospace Industry in Vancouver? Taeron is hiring a software developer to support our growing team on a special machine learning project. If you are interested in pushing the envelope of innovation and enjoy creative problem solving, come work with us! We are a small company supporting the Vertical Take Off and Landing industry by providing new solutions to existing problems.
We are looking for a motivated self-starter who is organized, collaborative, and can commit to realistic deadlines we establish together. Machine learning and dataset management are required software skills. The position starts as a 6 month full time contract but may be converted into a full time permanent position. Our shop is located near YVR and we support working from home whenever possible.
Key skills or tasks called for in our upcoming project include:
Organize and evaluate digital elevation models created from aerial photography
Organize and evaluate drone telemetry
Design and build an artificial neural net to draw conclusions and make predictions based on the above data
Working remotely and sometimes spending the day outside collecting data
The position will require travelling to outdoor sites to fly a drone. Having a driver's license would make that task simpler. No prior experience with drones or aerial photography is required, though some image processing experience would be an asset.
Candidates must meet the eligibility requirements of the IRAP YEP Program.
https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-funding-hire-young-graduates
We anticipate the salary for this full time contract is $45k over 6 months, beginning Oct 1. The time-to-start is short so if you are interested reach out to us!
Contact info@taeron.ca to apply for the position or learn more about the project.
Taeron systems is a small company and we are committed to respecting and increasing the diversity of our team.
How to Apply
Expiring: Oct 15, 2021
Email: info@taeron.ca"
Fusemachines,Machine Learning Engineer (MLOps),"About Fusemachines
Fusemachines is a leading AI strategy, talent, and education services provider. Founded by Sameer Maskey Ph.D, Adjunct Associate Professor at Columbia University, Fusemachines has a core mission of democratizing AI. With a presence in 4 countries (Nepal, the United States, Canada, and the Dominican Republic and more than 250 full-time employees). Fusemachines seeks to bring its global expertise in AI to transform companies around the world.
About the role
This is a remote, full-time position
What you will be doing
ML Pipeline Automation.
Continuous Integration for Machine Learning projects.
Continuous Delivery for Machine Learning projects.
Improve and advance DataOps and MLOps infrastructure and operational processes
Build custom integrations between cloud-based systems using APIs
Improve scalability in response time for ML models
Qualifications
2+ years of industry experience in applied ML
Experience with GraphQL migration
Data Science experience/research with building recommender systems, NLP and Computer Vision
Software development experience with proficiency in Python, Java, Scala or another language

Equal Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.

migX2mDo8u"
DATACLOUD,Machine Learning Geoscientist,"The Role
MinePortal from DataCloud is the groundbreaking cloud-based intelligent platform that powers geotechnical knowhow of the rock in the mining industry for operational intelligence. Our mission is to push the envelope in Artificial Intelligence (AI), Geophysical IoT sensors, Machine Learning (ML), Data Management, Signal Processing, and Grade Engineering, in order to provide the best-possible blast outcomes for our customers. We are looking for a Geology, Statistics, and ML Specialist to help build industry-leading modeling technologies that the world’s largest mines will adopt.

Key Responsibilities

Reporting to the VP Software, the Machine Learning Geoscientist role will include following broad responsibilities and any other assigned work from time to time


Apply domain expertise in the development and implementation of machine learning models within the hard rock and coal mining industry


Teach internal and client teams how to integrate machine learning software into existing workflows to optimize blast design, blasthole spacing, and other engineering applications


Study and transform data science prototypes for the geoscience specific data streams


Feature extraction and identification over large data sets to feed automated algorithm development


Apply knowledge in geology, geosciences, applied mathematics, and quantitative analysis to sensor solutions for challenges facing our sponsors.


Explore promising research and maintain/gain the technical edge required for projects. Share and develop new approaches and methods.


Design machine learning systems that can automatically recognize features, extract features, and create volume models out int and sparse data


Research and implement appropriate ML algorithms and tools for mining domain specific applications


Select appropriate datasets and data representation methods


Run machine learning tests and experiments


Perform statistical analysis and fine-tuning using test results


Train and retrain systems when necessary


Extend existing ML libraries and frameworks


Keep abreast of developments in the field


Contribute to analysis of algorithmic computational complexity and memory requirements.


Work with Hardware Engineers to specify and optimize sensor and IoT device design and configuration for multiple sensing use cases.


Interface closely with Application and UX Engineers to develop compelling analytical use cases to utilize ML outputs and insights.

Key Qualifications

Master’s degree in Geosciences, statistics, mathematics, applied physics, or a related field.


Comprehensive expert level knowledge of programming and experience in C, C++, Python, R, Golang, or similar language used in geo-stat, ML, and computer vision sciences.


Proficient verbal and written communication skills necessary to effectively collaborate in a team environment and present and explain technical information.


Experience in working in distributed teams in the research, development, and implementation of machine learning, spatial modeling, and geo-stat algorithms.


Takes initiative, independent worker


Ability to manage multiple concurrent major projects with different tactical and strategic objectives


Can effectively assume an array of roles as appropriate in various kinds of organizations. These may entail different responsibilities, forms of leadership, team work, and project management.


Experience leading in environments that are highly volatile, cross-functional, and cross-organizational

Work Hours & Location

Full time, Flexible working hours, 15 days/year vacation


Work from home office and DataCloud’s office in Vancouver


Some travel to Seattle, Palo Alto, and Client offices world wide

DataCloud is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under applicable local law. The Candidate must be authorized to work in Canada.

About DataCloud

Founded in 2016, DataCloud delivers high-resolution rock mass characterization data to our clients in real-time. Our innovative measurement and analysis platform provides invaluable orebody insights during drill and blast operations. Our technologies help mine planning teams to dramatically improve their extraction efficiencies.

With our unique combination of skills in both mining and technology, DataCloud is helping to solve many of the problems that have challenged the mining industry for decades. Our founders come from institutions such as Stanford, UC-Berkeley and Cambridge, who have expertise in geosciences and cloud architecture.

Our portfolio of products and services span the latest in Geo-Statistics, Geo-Physics, and advanced digital and artificial intelligence technologies, including cloud computing, machine learning, advanced visualization, and new sensor technology enabled by IoT systems."
Deep Genomics,Machine Learning Scientist (All levels),"About Us
Deep Genomics is a Toronto-based startup company that is changing the future of medicine using artificial intelligence. Founded in 2015, Deep Genomics brings together a multidisciplinary team of world-leading experts in machine learning, genomics, chemistry and biology. Together we are on a mission to develop an AI-powered platform for rapid discovery and development of the best genetic medicines, focusing on oligonucleotide drugs for the treatment of patients with rare genetic diseases.

Ideal Candidate
We are seeking a creative and experienced machine learning scientist to decipher how mutations and genetic medicines influence the molecular world of the cell. The successful candidate will develop machine learning approaches for modeling complex RNA- and protein-level outcomes based on massively parallel assays. The ideal candidate has a proven track record of publishing at top machine learning conferences (NIPS, ICML, ICLR) or has applied deep learning to genomics in a top life sciences journal.
Requirements/Qualifications
MSc (Junior Scientist) or PhD (Senior Scientist) trained in machine learning.
Extensive practical experience at systematically designing, training, debugging, and evaluating neural networks using modern frameworks such as Tensorflow, PyTorch, or Theano.
Excellent scientific writing and presentation skills.
Senior Scientists must demonstrate leadership and ability to introduce new machine learning techniques.
What we offer:
A chance to develop machine learning techniques that will save human lives.
Inspiring, creative, and fast-moving startup work environment in downtown Toronto
Competitive compensation package including stock options
Deep Genomics thanks all applicants, however only those selected for an interview will be contacted.

Deep Genomics welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process."
Atomic,"Manager, Machine Learning","From the latest in Edge AI platforms to cloud-ready solutions, Paravision powers computer vision-centric solutions that deliver breakthrough capabilities in the most challenging conditions. We’re the top-ranked face recognition provider from the U.S., UK, and EU, delivering world-class capability with an ethical and customer-centric approach. In alignment with our company values, we hire people who are collaborative with a growth mindset, intellectually strong and curious, and energy accretive.

Our business is growing rapidly, and we seek a highly motivated Manager, Machine Learning to lead our high-performing team of machine learning engineers. This role will report to our Director of Machine Learning, and drive the design and creation of scalable machine learning applications that enable various use cases across our customer base, thus being an accelerant for the rapid growth Paravision is experiencing.
What You'll Do:
Run day-to-day activities of a dynamic team of machine learning scientists, to deliver novel, strategic AI-enabled solutions with diverse, industry-leading skills in distributed machine learning training workflows, edge AI, data engineering and tools both in the cloud and on-device.
Drive the direction of Paravision’s architecture, data collection, analytics, infrastructure, tools, and learning systems.
Review the team’s designs, algorithms, and code while also spending time developing your own.
Read papers and attend top-tier conferences such as CVPR, ECCV, ICCV and Neurips.
Lead the implementation of SOTA algorithms in computer vision + deep learning using modern frameworks such as Pytorch, Tensorflow and MXNet.
Partner with internal stakeholders to ensure the teams' contributions align with company objectives in defining, architecting and building data ingestion systems and model training pipelines from experimentation to deployment, monitoring and continuous performance improvement.
Perform full lifecycle of team management to attract, engage, retain, coach and performance manage the team of exceptional engineers (e.g., mentoring, recruiting, training and development, performance evaluation).
Actively drive partnership with the Machine Learning team to release models that are top five in the world for accuracy and performance as measured by the NIST FRVT test.
What You Bring:
PhD in Computer Science or related field with research in machine learning.
5+ years of experience building machine learning or AI systems.
2+ years leading and/or managing technical teams.
Expert skills with machine learning software packages (e.g., PyTorch, MXNet, Caffe, scikit-learn, TensorFlow).
Expertise in software engineering standards and best practices.
Deep understanding of mathematical foundations of Machine Learning algorithms.
Experience working with large datasets.
What You Have:
You love the idea of coaching and building leaders.
You have a passion for enabling and motivating people to do their best work.
Strong technical, analytical and quantitative skills with the ability to use data and metrics to back up assumptions, recommendations, and drive decisions.
Demonstrated ability to understand and discuss technical concepts, manage trade offs, and evaluate opportunistic new ideas with internal and external partners.
An entrepreneurial spirit and comfort working within a rapidly changing startup environment.
A track record of creating diverse and inclusive environments and bring experience improving diversity, equity and/or inclusion in your current or past roles.
A true passion for technology and thoughtful delivery of next-generation capabilities.
Bonus to Have:
Experience collaborating across a multi-national distributed team.
Experience working with computer vision in design of APIs and SDKs.
Experience working with Openvino, TensorRT, or other inference engines
What You'll Get:
Competitive salary with meaningful equity compensation and excellent benefits.
The opportunity to work with a group of highly talented and equally nice people while making a huge impact.
Work-life flexibility - we value your contributions above all.
A professional environment with a focus on teamwork.
Paravision is focused on building a diverse and inclusive workforce, and we believe the more inclusive we are, the better our company will be. We are proud to be an Equal Opportunity Employer and consider applicants for employment without regard to race, religion, gender identity or expression, sexual orientation, national origin, age, or marital, veteran, or disability status, or other applicable legally protected characteristics.

We consider for employment all qualified applicants in accordance with the San Francisco Fair Chance Ordinance.

If you’re excited about this role, but do not meet 100% of the qualifications listed above, we encourage you to apply. If you require assistance or accommodation during the recruitment process due to a disability, please let us know."
Railvision Analytics,Machine Learning Engineer (Remote),"Company Description
RailVision Analytics is building the “Waze” for the rail industry by providing directions to operators in real-time for driving trains in the most efficient, timely, and safe manner possible.

Our company is a venture-backed start-up at a seed stage, with numerous early customers in the passenger and freight markets, and a continuously growing customer base.

We aim to be a leader in rail software within 3 years and are looking to grow our operations globally in the coming year. Join our dynamic team with ambitious goals and a flexible remote work policy with destination quarterly meetings!

Why Work With Us?
Awesome work-from-home policy with quarterly in-person meetings around the world
Competitive salaries for quick-learners and fast-paced individuals
You will have the ability to gain career experience beyond strict job requirements, with decision-making power to be the master of your own projects
Resources for self-improvement including courses, software, workshops, and conferences
We are committed to hiring great people from diverse backgrounds, not just because it’s the right thing to do, but because it makes our company stronger

Job Description Overview
As a member of the Engineering Team, you will be responsible for implementing machine-learning solutions to determine the optimal operations of trains in dynamic, real-world environments. This challenge will require you to bridge the gap between current rail operations and train dynamics, but also future Autonomous Train Operations (ATO). We are looking for a driven, intellectual, and passionate individual with industry experience that is ready to play a significant role in the growth of the company.
Technical Responsibilities
Develop Reinforcement Learning algorithms to provide safe and efficient train operations
Design and build environments to simulate realistic rail operations that perform with high accuracy to live environments
Productize machine learning algorithms to operate in a production environment
Communicate with a team of front-end and back-end developers to integrate solutions via APIs
Determine methodology for using current software in an ATO setting
Drive continuous product development and contribute to direction of technological development
Other Responsibilities
Maintain a high-level of communication between managers and development team
Conduct formal presentations to other team members, managers, and in public
Contribute to various aspects of a growing company
Be an ambassador of technological advancement and revolutionized transportation
Grow personal connections to the industry to understand trends and opportunities

Technical Qualifications
Proven experience delivering machine learning algorithms in an operational setting
At least 3 years of relevant work experience
(Preferred) Master’s degree in Machine Learning, Computer Science, Engineering or related
(Bonus) Experience in the rail industry
(Double Bonus) Experience in Autonomous Train Operations
Strong working knowledge of statistical techniques (distributions, regressions, error bounds, etc.)
Experience with Python, ML libraries such as Keras, TensorFlow, PyTorch, pandas, and more…
Experience with git version control, agile methodology, MS 365, and other common software tools
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and common CS algorithms
Professional communication abilities in English

Who We Look For
Driven, self-motivated, and detail-focused individuals
Clear and concise communicators
Passion for career growth and continuous learning
Organized in work habits, schedules, timelines, documentation and correspondence

Other Details
Remote work with quarterly in-person meetings (location is voted on every quarter)
Incentives offered such as Employee Stock Options and yearly bonuses"
